<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB_TOM;D;20,12,2010;0;30,8176;30,85;30,74;30,8;2941252000
USDRUB_TOM;D;21,12,2010;0;30,7406;30,76;30,6649;30,742;2986810000
USDRUB_TOM;D;22,12,2010;0;30,73;30,7617;30,61;30,615;4081531000
USDRUB_TOM;D;23,12,2010;0;30,5;30,6875;30,5;30,61;4109222000
USDRUB_TOM;D;24,12,2010;0;30,685;30,685;30,39;30,4626;3603912000
USDRUB_TOM;D;27,12,2010;0;30,3;30,4668;30,3;30,36;2644458000
USDRUB_TOM;D;28,12,2010;0;30,15;30,34;30,15;30,2448;2214330000
USDRUB_TOM;D;29,12,2010;0;30,3774;30,5264;30,3305;30,49;3515406000
USDRUB_TOM;D;30,12,2010;0;30,4;30,6131;30,3875;30,57;2519846000
USDRUB_TOM;D;11,01,2011;0;30,73;30,73;30,54;30,5675;3509658000